city,count,mean,std,min,max
安阳,147,68.0816849129557,41.48941649096255,26.503832464587656,203.15954462815768
临汾,147,61.311464123148795,38.994324809290475,23.476388903699107,223.51409136224927
咸阳,260,59.72153848058078,38.71298163387394,20.08276503601808,231.05348024813333
邯郸,260,59.39176565115159,31.596245281504505,20.777012842898618,193.10372180814915
开封,147,59.28630299099946,35.45043453942472,21.217336339891908,175.80287773168442
濮阳,260,58.94924657023651,33.377538048042815,21.517002878104417,188.04403285429697
许昌,147,58.6951902520625,37.139819358811216,22.82011799603949,191.5687248194528
漯河,147,58.19602928776252,36.055160407073096,19.826740589688576,162.29604618765876
石家庄,260,58.15802774208254,30.535039388526684,21.94939950704872,200.55491691118195
襄阳,147,58.00526073648445,37.737334662440595,22.24069241199323,244.87221017596835
郑,147,57.913095936079,33.95193184988663,20.74835458386585,177.87140938614175
洛阳,147,57.74748617030506,31.475169411990926,21.646355530951706,151.67076675863777
焦作,260,57.69063268713289,28.932866920744466,19.54291859370062,184.099519164864
太原,147,57.48116903399812,23.270998707405372,29.847087950955544,139.43387169033787
邢台,260,57.21290933222548,32.326365592896764,21.825535770332685,171.81721792275565
枣庄,147,57.037208786049625,26.532509558721515,25.39612777624516,138.47863296760832
徐,147,56.98294755094421,29.472965845933782,24.13802725476896,163.9997329683758
西安,147,56.927656559172355,39.38104626146165,21.12304529235232,219.0749344570069
运城,260,56.89008120668562,32.77318793789708,21.719636799246253,194.022753942694
鹤壁,260,56.44541858015134,27.113987707165183,24.736494336461448,155.79735131177023
南阳,147,56.37400822306698,38.83925933906557,21.26405449937355,176.29962887450623
唐山,147,56.318296275112765,19.165487342069923,29.1299699755704,127.3439119894618
商丘,147,55.82869376429348,31.82358697341679,20.382098385152904,148.60024254182406
淄博,147,55.70524651533398,23.340924194073718,27.36668903401939,132.46621644084794
平顶山,260,55.126397850486164,29.691790411859696,19.06127144932676,189.9026702653567
菏泽,260,54.85045537795368,29.436440346340806,19.69171298003995,160.84653220137457
吐鲁番,260,54.55702800455271,28.465584324754616,16.889249601584826,151.3584618959741
渭南,260,54.34661598259964,33.212553476102606,16.650518852625982,208.34342343439377
新乡,260,54.16531898794899,26.58510869083867,18.24172910024856,180.4377347051048
聊城,260,54.036252144327456,26.80042477608169,19.86605618197675,149.17708237698355
保定,260,53.4674715048619,28.420593786215793,17.001948091402223,164.72785623862632
济南,147,53.408059041093004,24.08509696293162,25.248170099494025,124.61192209791284
阳泉,147,53.106875869384645,22.37331296490551,25.50958479056916,125.9834633545535
德,147,52.76705629970975,27.72587490711784,21.843100009657068,122.66618303472018
衡水,260,52.682024072910856,26.8357308041498,17.32123078869108,162.9108344364509
泰安,147,52.60364790367276,26.601736957874312,23.52270519466975,146.6872909388431
驻马店,147,52.43978944327037,28.039015594814263,18.00411163648954,135.78748365854082
沧,147,51.855796045024476,23.789361622365178,20.01031027154531,115.6386817177731
周口,260,51.720846457472796,31.155807785183946,15.706552622865182,162.91076469292148
潍坊,147,51.69640773900633,23.51154572978455,21.707631128231423,128.27837716951086
三门峡,260,51.69518985558182,28.171481804305806,19.09961947664131,177.03593344658898
临沂,147,51.588304230789355,27.125331659015213,19.65449565095412,135.54194856270155
济宁,147,51.574024198012616,23.1260445424565,22.09585637251196,130.0155010321935
淮南,147,51.40597993552911,24.474555847690727,21.444415962722065,118.11288005790026
天津,147,51.10582235252868,16.992335617729676,29.35780845932962,105.74482416233292
宿,147,50.81713100060467,25.32185525232129,14.295591358163682,121.62878967609984
阜阳,147,50.58014950458692,30.161111740620452,11.97887728151231,138.06880018479484
荆门,260,49.89945499744116,30.600065986863548,16.23466486258093,163.02999444012417
淮北,260,49.798494786590865,25.434266417418968,18.04570987063269,132.64365897022188
乌鲁木齐,147,49.62641279017361,42.38748963889057,14.71273543237926,170.7645019521486
滨,260,48.798494477192236,20.882263584138485,20.301167527458365,132.51861652436742
蚌埠,147,48.61379731719782,22.645367086025484,20.983738327826064,109.69094134872869
亳,260,48.57516934112816,27.756349526938163,12.178349291111951,137.47267251787866
宝鸡,260,48.209465893996885,28.891803540158,16.96917721858177,198.2602097468603
北京,147,46.092683768354895,14.417267638616092,23.358324006341817,83.09885952054874
晋中,260,46.05630669521972,18.30286852006926,22.97186905046681,126.64243554995171
常,147,45.99900818997272,18.247525683887197,21.884216705694083,106.096023308304
宜宾,260,45.450693208088786,23.186423956290525,17.938385203155782,122.26094036707424
自贡,260,45.15120865058803,24.283935709093278,14.403494135344069,138.52391897446768
宿迁,260,45.052361970256904,22.355404152365974,18.39524105817789,128.22380655119534
宜昌,260,45.035781375100264,30.195103102866966,14.952061409294382,169.35427612014044
滁,147,45.021940949736766,21.16821853006212,18.952488667115663,113.2687480672314
淮安,147,44.93494126922811,20.06325207075764,18.88096784197925,114.08939689267817
信阳,260,44.91928913228066,26.098898719704316,14.582310472431992,138.3196381916716
锦,260,44.560707578048664,17.333814017649363,19.99328455778422,95.16204911025862
湘潭,147,44.463823622868624,23.813487920286697,17.314254609166866,156.37056719112397
长沙,147,44.19101627792168,22.04872887610611,19.137700749516487,145.1190371309916
忻,260,44.15190044553561,22.959948768821025,17.89432439040337,144.29825812312535
铜川,260,44.04173025943483,23.05883459546104,15.151147349325496,145.4760174736182
成都,147,44.00862635290605,21.041777210994468,19.725536792403062,116.96715327965076
廊坊,260,43.69936646022908,16.6894692887155,20.410116311500097,117.325573638956
东营,260,43.471089287547585,18.353177673069624,17.556887214370693,106.71325781987233
铜陵,147,43.16511526229577,19.310137033150998,18.573316770692667,106.16769034122288
汉中,260,42.947372033314494,29.174214967186668,12.710502760337947,145.08409817661558
武汉,147,42.87688313163097,20.896918565331262,19.32956523284121,120.59818987311068
株洲,147,42.61461231214305,20.914943863757973,18.347751833454485,124.2154893480596
扬,147,42.58501347410349,18.583324618764532,16.125303882587524,94.1670673109974
哈尔滨,147,42.53276360769056,32.881160610005495,13.214654401391746,156.70241777578408
镇江,260,42.466660269880265,18.23072883521038,18.130557379302168,121.85883028389158
常德,147,42.20552212903463,21.63965985598829,17.44563300713755,126.6710829991684
葫芦岛,260,41.9137459756472,17.185392191708715,17.207648299510634,106.6221120701546
抚顺,260,41.57011875275975,20.153977562543563,15.13458401358203,108.46011697573888
荆,260,41.52784237227419,20.817034757290678,17.331847801940782,106.25391511567436
日照,147,41.41913944873253,20.069597228120607,17.011057223530287,108.54143133702732
安庆,147,41.035777014094286,21.74503539471591,16.816066294072993,120.45475616977328
乐山,260,40.66251064759918,20.729008347598715,16.487577690057623,109.22262115178788
达,260,40.51174110345714,23.35367550882944,12.595697178998204,132.85919331023274
鞍山,260,40.50449610048569,16.950709675964166,19.348552133029063,116.10577077093564
兰,147,40.499565809738066,17.59185958385852,18.134401824826288,98.8442058296432
连云港,147,40.47735855221523,17.94916206910573,16.362100950523967,92.09444426527476
石嘴山,260,40.36857349306641,18.206846298987994,17.788507597400674,182.49240070788065
六安,147,40.19935437167284,19.528153503283676,13.71797738890667,94.70423550387792
邵阳,260,40.16652704310999,17.278756472095473,15.79003509994348,116.33103532673064
孝感,260,40.03569159699199,20.703957524437364,14.056236505140909,129.6562893076624
沈阳,260,39.81239821504533,18.233245846234468,16.272533613505015,96.41572936090115
芜湖,260,39.67242893058824,20.62259811782714,16.905054819295493,139.11067895800727
泰,260,39.60283949969394,16.177170562224976,18.38804432659408,99.25064285823542
武威,260,39.486513228502126,25.662314123525675,17.89913825921906,355.12194204803035
岳阳,260,39.44779761318757,17.163796630565034,16.00442426475173,105.61857756028856
辽阳,260,39.311631653954336,19.518964924358137,16.8986711919111,118.47880313210254
呼和浩特,147,39.275714305266334,26.19438930224606,14.645201144987098,169.0350307233447
马鞍山,260,39.22190685507398,17.991043434255026,18.40986291104109,114.26859877384275
鄂,260,39.204120195987684,17.953551124030835,9.727080411571702,95.5192429958071
德阳,260,39.02937289341957,21.38001812792655,12.95330062002937,107.33281607410864
随,260,38.98311664051161,21.402431689508607,11.31447992675319,108.92725671524092
营口,260,38.94769466955919,18.038244740158092,17.443931309429818,111.74622318812224
泸,147,38.947640431062666,18.87775759688132,17.327914192429,101.68274915182025
永,147,38.894523841031315,18.61917937720183,12.458621165158238,117.69732678422471
合肥,260,38.844721251351686,18.698519564086098,15.787336361924474,103.44961652784689
盐城,147,38.82831835995955,18.74481552226488,16.97695962647171,100.73844328646716
九江,260,38.69890890314144,17.863487156382412,14.337066278727992,104.02718083152315
长春,147,38.54763646905988,24.074449564088148,14.205708098952025,116.49107065980598
铁岭,260,38.52052669852737,20.09302792197266,13.232051248307982,94.4066830614408
衡阳,260,38.48748634070188,18.18543770526985,16.11464422941385,132.2336872760526
无锡,147,38.363895979430886,15.233235170542839,19.076289865610143,102.00787302244456
包头,260,38.114417545585155,18.688185817820553,14.950566899814977,120.68735115337194
南京,147,38.067615562418354,18.438621672208182,16.270488043525035,110.04403702335132
绥化,260,37.99010042129804,29.29205999875125,9.385121371705123,183.0589863476673
绵阳,260,37.89946018219006,19.272563609760912,16.023850036307696,121.4480126550084
中卫,260,37.78338200635184,19.068352263115823,18.132060213858608,246.0564508645308
苏,147,37.777526115701455,15.883825365978739,17.94543226062932,102.51542083553755
朔,260,37.61466852321154,17.031846734202816,17.942217478238792,113.57264295231371
萍乡,260,37.23919064966744,19.21789637487824,14.931462064552536,117.35068324619247
南通,147,37.19129872706954,14.324339153410543,19.498438183848343,90.36697098577592
池,260,37.17089511716712,19.65720809469797,13.443551082170613,114.66819575669491
吴忠,260,37.12645103876287,18.678900130422875,15.209119466790328,193.238758973734
合成,113,37.071914371310434,15.72475926168238,16.861535422375162,70.06964912226253
吕梁,260,37.00828726109874,18.291245108947013,15.767656904946858,119.22808267482596
黄石,260,36.66825586937943,15.9595029963674,9.96416453274527,90.5063400154568
西宁,260,36.6502060267255,15.487629035657779,16.98284425797881,153.0914975982092
黄冈,260,36.607270570837635,16.725576286581052,10.138800406299865,91.16377927824428
吉林,260,36.5425334570958,22.18526588884116,11.25814196038596,127.9330596753075
十堰,260,36.49751765132781,17.81824301828591,15.789977402893916,119.20759537310828
张掖,260,36.493134335631304,20.031423477059025,14.517342548906624,258.21127351371166
秦皇岛,260,36.32341493606686,14.487751454329624,13.788439721345352,92.57858951490266
宣城,260,36.27070326694893,17.410328861922572,14.857152308964302,104.35429261909212
绍兴,147,36.136199098824896,15.405584045657854,16.779091347763934,106.12740199653308
眉山,260,36.12799534216785,18.53618347797962,13.600326239621356,96.10518415506114
重庆,147,36.12240682996432,16.205085043305242,16.212555915537333,86.24369561515536
辽源,260,36.042216343548674,18.079305818191095,13.728046724010664,96.5566120394826
盘锦,260,35.87261767376119,15.930024950531017,14.55328024429609,90.51480586991303
阜新,260,35.80064111858938,13.282752022673673,16.77294414562481,76.09082524816148
杭,147,35.53319210847443,14.007445447050435,17.469841204804855,91.50076943639203
内江,260,35.4297788692547,19.950185546332747,9.33443793645538,98.25427586577976
银川,147,35.344016744596516,13.831605259550248,16.87534882650338,88.61919210577011
广安,260,35.21868953253633,18.43265407696741,13.847108400698348,94.46516943822589
巴彦淖尔,260,35.18790879480075,15.470572239099727,16.392740845499116,143.9752421613888
朝阳,260,35.14141821029302,13.693356144899129,16.124301777494605,95.24150848821468
乌海,260,35.010732478805586,12.056686807721098,18.705622409389505,98.8469936563316
青岛,147,35.00701632955737,18.845813821282125,11.306087517369694,92.56108652143604
安康,260,34.7493373268054,20.847593434457107,12.191497642052097,128.66702594707127
来宾,260,34.4078710592598,14.335609425974296,15.482608648564137,86.86372921144395
上海,147,34.08068429821285,11.68700036092796,18.37194492641957,90.46455307610688
嘉兴,147,34.01467601100575,13.76844298475194,17.838558292751543,105.40550132440384
四平,260,33.9693855926529,18.402461462365714,12.468477032494658,90.42896424250944
榆林,260,33.61428892742491,14.111046260290738,13.756312027465643,119.10853130542664
本溪,260,33.5723012647674,15.017879495868339,14.031740784004986,86.01039147462163
宜春,260,33.40768699870224,13.040230026974973,16.04010896979911,96.4459631763867
大同,147,33.2818063326388,11.92917690413818,16.709500107693813,69.0092693106278
延安,260,33.24302410985171,14.605216983264311,13.494612567114633,129.25711836406944
新余,260,33.21785884757049,10.022002525487412,19.62696677349295,80.00163126461845
烟台,147,32.950749072610556,14.022184865709317,14.43991659469611,84.5014535004079
柳,260,32.90642513356596,12.73261919837691,13.942107553927933,85.07223374289558
资阳,260,32.89213297453369,19.733590706619733,7.16865147051653,89.222534282927
通辽,260,32.875890471685146,10.609839678892214,12.84381336432263,70.76583741042728
白银,260,32.65146675117729,18.80740132269416,11.812717096443984,211.25562802535543
大连,147,32.39998189360526,12.618779414787895,13.838249229300324,67.78631592711514
咸宁,260,32.30393974079663,15.70990692532738,11.372444652459096,77.09576431108655
贵港,260,32.079473914398235,12.097148143622707,15.65934155824124,85.91450671348119
遂宁,147,32.000859131224395,14.389103743816216,14.181195276845424,83.95583521362121
酒泉,260,31.979591721152694,14.91403087968004,14.080781963872589,170.7434359105882
南昌,147,31.937478932093878,13.833902056257315,9.259400803926493,73.4954491290592
桂林,260,31.75460588808886,13.25505094936779,12.2929250338633,100.78689336431592
上饶,147,31.72362534841032,8.791983345003079,17.90249770439239,72.14072093450238
玉林,260,31.70504236039904,11.160228202898544,14.814861948413242,100.51216514997424
鹰潭,260,31.694049241454685,13.944879285284127,8.554810294500426,93.03515060370307
七台河,260,31.64991502063754,20.17692466282027,9.843898333637354,129.07561857565244
怀化,260,31.567643076246238,13.82308452768883,15.453151936556011,78.46676113278525
吉安,260,31.48229327127758,11.3594629672915,16.908751836587147,81.86362081809271
湖,147,31.42100119508015,12.968118692927689,16.163728223445872,85.40779336944895
雅安,260,31.404541544074217,18.058739957319457,12.32887278776993,94.5600308088121
商洛,260,31.2784471239937,15.192774428148812,12.110402891768242,87.87815909030324
金华,147,31.179878957123147,9.625124267180206,16.345167553395257,68.12938698508626
牡丹江,147,30.989877912967142,18.042653688817012,11.084328446950233,94.52272349717504
赣,147,30.96384446573222,11.01871736977752,15.64233215688924,78.20781570112138
巴中,260,30.958219196892497,17.499037013606355,12.012326470923002,99.15059413912208
庆阳,260,30.940396607282175,14.267563818000799,11.667450106476013,81.00708706976118
鸡西,260,30.79651719410095,18.03766575893795,10.49709235347728,87.61097848255149
衢,147,30.55119417430708,10.408259144946644,15.913131924406647,69.94407573059627
攀枝花,260,30.424654990762956,9.580584266550035,16.55174622401311,79.07860312156203
百色,260,30.343148637722802,11.279580137464027,16.06653409184768,89.81372671346607
贺,260,30.248068887015307,12.560521180709745,13.53629425254393,100.9516258292284
承德,260,30.24154507900554,9.950320606535552,15.130414262733984,64.04598580624943
东莞,147,30.039209632187188,11.598181671516327,11.246455121623264,78.15072991492067
嘉峪关,260,29.972738675988868,18.988622553283438,12.709814952118052,239.27522020861224
定西,260,29.967973315266324,16.294781761775784,8.835517679297084,95.90262130924472
南宁,147,29.683302244590802,10.281781256878167,16.002140674355484,64.17894537846914
梧,260,29.498098197152768,9.575671529033082,15.401221135665972,78.05763282325881
大庆,147,29.37395342292101,17.314737947744486,9.340314037269884,87.97930065046037
抚,260,29.333624075829835,11.526636651838869,12.948558837602135,89.43981458741605
郴,260,29.10535616913564,13.593908392880769,12.352182329448654,85.7430588711784
清远,260,29.046006935543005,11.136043787200332,13.769462575190255,73.41716011302812
丹东,260,28.992768201928126,13.152092301075244,10.203497410352297,69.20540140510741
揭阳,260,28.9566948025828,10.638346936058946,11.499766865477676,60.91935412796339
佳木斯,260,28.942630300426515,16.807669521736198,11.229661343995224,127.65710683816889
哈密,260,28.92867289474686,12.785640762893935,11.074108408160551,93.9928543370918
广,147,28.686320699395154,11.010276198653315,12.529108297484262,84.18036405402138
崇左,260,28.63586123571466,11.150442214194438,13.08285944878978,72.8969894065346
威海,147,28.627626229715318,10.157450605499575,12.97023108100899,66.94494815013522
张家界,260,28.436437344199994,16.47547497512996,8.096059382395584,84.41843534458182
佛山,147,28.234140735124097,10.620053192499503,10.40329678150018,76.36185702952885
白山,260,28.029824538000558,13.331948162168057,11.485670468363024,63.74800806093642
钦,260,27.957972408470873,12.194057404485328,10.264247642136976,70.60977732127299
宁波,147,27.942869976404303,11.888124558802154,14.558553033872332,84.37828122802009
温,147,27.912783749907305,7.903028517666733,15.061662410087829,54.52832439867655
松原,260,27.786912186128752,16.65851682133828,8.527196801070508,104.413606752986
临沧,260,27.676007710927095,12.927369728565536,12.520585415306549,74.95651808652424
固原,260,27.637380217407713,12.69619085085531,11.004198400484777,97.33293393415497
双鸭山,260,27.344553471626394,14.512491659951257,8.466174956676035,73.0102430341511
肇庆,260,27.27780969615966,10.924850594202429,11.63625849860197,75.77123709018458
河池,260,27.18671147471382,10.21619756131504,13.843002579343912,73.97763541430297
韶关,260,26.955692033515557,9.53818771635056,12.301358510992122,67.95764450801555
通化,260,26.86695153803034,14.056492894461467,10.248334605126802,76.9858212914921
平凉,260,26.832854403200024,12.885083719163287,8.10545292078008,84.52557758287564
毕节,260,26.759858175861382,9.79011312877897,14.13158047898631,68.19187243917673
克拉玛依,260,26.65151149382767,22.38310048755794,9.006750394599779,107.30534695625305
景德镇,260,26.539720591331626,7.387770487602076,14.43353088271618,60.10576370796703
白城,260,26.420943590158405,12.758545142510295,9.263898952612642,74.87871048979326
齐齐哈尔,260,26.261101084423668,18.755283419878744,8.077175307815004,190.03249225047568
云浮,260,26.185007898397878,10.770483531060725,10.729757967324314,78.58140798564185
漳,260,26.16170864097031,8.734644175579358,9.955093188798145,51.69853804270426
广元,260,26.134568214257055,13.05250064390705,11.076191808143188,61.402643769127984
张家口,260,26.020936919813497,8.94968815835974,10.4530815164474,56.56982387977696
鄂尔多斯,260,25.674617051244784,9.407558781340654,13.155266438971791,102.08392771514823
昆明,147,25.64630439009924,8.949639722811007,12.21732865629653,49.60435459902173
六盘水,260,25.62018075655045,10.718673872100227,10.623896875219902,62.40194428887821
贵阳,260,25.538575672325944,9.649513432723031,11.935896246502004,61.428447803657214
金昌,260,25.464264008104223,16.644292352077784,10.98831379919508,231.99805808386043
安顺,260,25.439491312830953,9.449648542648251,11.88626429227066,63.11801722328963
赤峰,260,25.21412290849866,10.06992149372654,10.396956587038952,58.84821145415762
防城港,260,24.940092247154833,10.07674370032788,8.976340265797008,64.46586337662879
潮,260,24.714154795016363,8.124921369199152,10.57777995412666,48.02616445653779
北海,260,24.71280432283007,12.914491581878048,7.2296785577697396,67.0239022304728
阳江,260,24.63311368613879,11.571447897503386,8.809819689613724,63.59328607023388
乌兰察布,260,24.48267946652963,7.220628253882086,13.388905563377753,49.56445999136567
铜仁,260,24.45247813056151,15.446385853474599,6.343046452624876,86.00278689282281
丽水,147,24.416051900656168,9.01910046017756,11.492778893539292,61.42692918327868
江门,260,24.238603713321478,10.276458014992915,9.087464527459016,76.59392766439348
三明,260,23.781507219971132,5.8160059187602045,12.016499713406676,48.08271565264321
鹤岗,260,23.687998485289633,10.152541719859423,7.789138812733548,59.14036893247063
湛江,260,23.368595119354094,9.826834398116942,9.80617667324912,51.54678765382653
莆田,260,23.350751615323336,7.2027134183858035,10.488725785437794,47.19819168784505
梅,260,23.338764044561813,8.62578391950108,8.86305559952069,68.66004603517877
中山,260,23.24077553343164,10.73860125356916,7.969017092496999,58.682910118256295
河源,260,23.178069916919398,8.153521360883998,9.513155195186776,57.34652386700464
福,147,23.13512342630198,5.86275274581181,14.269658918869638,45.24557608401829
曲靖,260,23.011946036189915,8.126465138972977,11.518683047032072,52.39300242737361
玉溪,147,22.803490276703123,10.26458657490482,8.492479903548956,49.94619377121471
茂名,260,22.78925620586517,10.464540345475253,9.20628582122922,58.86604567686362
伊春,260,22.724275143908866,13.482832660283607,7.605736056637994,85.94537578002817
遵义,260,22.69373044298944,9.65102118243254,10.373749757318082,65.97889044226001
厦门,147,22.32084406868606,6.314324860950975,9.72594897201818,40.44418278770221
宁德,260,22.22747789656968,7.917461741989525,10.371976801472332,51.37993484945182
陇南,260,22.115018601888636,13.98764958755582,5.8282173484065005,70.62757328275045
黄山,260,21.843878680101913,10.880216883032475,7.316577911074672,66.13046102954092
惠,260,21.693430885255307,8.477276226509343,8.11415461889761,51.2631059119815
普洱,147,21.674415548526245,14.299994227274702,7.1776544977284615,66.2074041088451
龙岩,260,20.717743768548704,6.393221542135271,9.009552564093251,53.47108263868553
保山,147,20.630039375529734,9.475741273208907,9.434703562793278,50.02255700420905
深圳,260,20.623862270330264,8.297285033845847,7.405168275983561,49.45480419896897
南平,260,20.50618710390327,6.552813270722948,9.49851642837116,54.13767638639519
汕尾,260,19.148470897293482,6.966309254116242,6.623616067475506,35.4160916623354
呼伦贝尔,260,17.884938208659122,4.560681347850512,10.115417056970715,33.36510261968204
黑河,260,16.74703205466099,6.862649462768653,7.871872343010347,47.89991425334018
海口,260,15.554886087079943,5.455332306567557,7.6134914596228,34.98440635867346
丽江,260,13.729817100175001,4.553080611854206,6.649342549521653,34.34707361060097
三亚,147,13.217554510271619,4.052975353872226,6.059276731033715,27.185490675426667
拉萨,260,11.930667090305827,4.726009008444261,3.2898952306769567,27.9230237455692
昌都,260,11.8095151957752,5.245985603800451,4.996126238513925,32.22853006520726
日喀则,260,10.868283259681705,5.196602029952713,2.3524901548888533,26.25833336124377
林芝,260,7.8445653445448595,2.634126123336869,3.3935452627791487,18.57538248487313
